확인 완료 체크,ID,프로젝트,구분,기능군,기능,경로,세부 동작,현재 판정,우선순위,화면 확인,이번 로컬 실행,운영 전과정 성공,다음 확인,완료 판정 공통,코드 근거,API·연결,관련 테스트·정적 근거(통과 뜻 아님),승인 경계,확인일,담당·결과 기록
미완료,PUB-11,웹,고객,플래너,플래너 이어서 편집·재생성,/planner,플래너 이어서 편집·재생성,중복 코스 선택 수정 운영 반영 / 실제 운영 복구 미확인 / 다양성 실패 유지,P1,이번 화면 검사 대상 아님,"선택→확장→최종 판정 관련198 PASS; 새 중복8개, 진단3개 포함. 필수 전체 검사 통과. 운영 /planner 2너비 진입 PASS(API 차단).",미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"저장된 수정 맥락 유무, 변경 요청과 재생성",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PlannerPage → usePlannerHandlers.handleRevisionSubmit/handleRevisionRegenerate,POST /api/ai-planner-full; revision snapshot storage,tests/unit/planner-revision-snapshot.test.ts | tests/unit/ai-planner-modify-flow-pr128.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인,2026-09-23,Astra 검수·배포 / Luna 구현. PR1409 MERGED·운영 READY; PR1410 진단 기록 보완 MERGED. 실제 생성·저장 성공을 보장하지 않음. / 최근 회피 개선에서 gate.isRevision이면 새 food/block 이력을 전달하지 않는 연결을 코드 검토. 실제 수정 요청 UI/API 전체 실행은 이번에 하지 않음.
미완료,PUB-12,웹,고객,여행 계획,내 일정 목록·탭/검색/더 불러오기,/my-plans,내 일정 목록·탭/검색/더 불러오기,부분 검증,P2,"/my-plans 로그인 안내 / 1440·390px, API·외부통신 차단",로그인 필요 화면 공통 구성 10개 통과,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,로그인·페이지 추가 로드·비어있음/오류,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,MyPlansPage (AuthRequired),Firestore users/{uid}/plans,tests/e2e/my-plans-editorial.spec.ts | tests/unit/my-plans-editorial-shell.component.test.tsx,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-13,웹,고객,여행 계획,일정 상세 표시·수정/저장,/my-plans/:planId,일정 상세 표시·수정/저장,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P1 검증,이번 화면 검사 대상 아님,full 생성으로 저장된 동일 JSON을 실제 get-plan으로 읽고 DEV localPlan 상세 화면에서 1280/390px 확인. 문서 편집·실계정 목록은 별도.,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"운영 인증/실시간 조회·수정·새로고침, 실제 worker 재시도",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PlanDetailPage,Firestore/API (plan access); /local-plans/{fixture}.json 데모 경로 존재,tests/unit/planner-persistence.boundary.test.ts | tests/e2e/plan-detail-editorial.spec.ts | tests/unit/lint-plan-detail-auth-lifecycle.component.test.tsx,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
미완료,PUB-14,웹,고객,여행 계획,일정 PDF 저장·언어 번역,/my-plans/:planId,일정 PDF 저장·언어 번역,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P1 검증,이번 화면 검사 대상 아님,"같은 저장 JSON→실제 상세 PDF버튼→2페이지 생성·렌더 확인. 영어 숙소 출발/복귀 표시명·교통 안내 혼입 보완. 지도용 원문은 보존. 외부 폰트 대역. 별도 Preview 자동CI: 실제 검사용 계정/기존 일정→서버 PDF8페이지·490.3KB, 내용/글꼴6기준 통과. 새 합성 일정의 운영 저장 근거 아님.",미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실제 폰트·다른 언어/긴 일정·페이지 경계·운영다운로드,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PlanDetailPage → pdfGenerator / useAutoTranslate,브라우저 PDF 생성; 번역 API,PDF 실제 생성·렌더 확인: tmp/planner-pdf-share-20260923/; 관련 tests 기존 항목은 테스트 존재 근거,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록; Preview PDF run35861938209 실행 로그 확인"
미완료,PUB-15,웹,고객,여행 계획,공유 링크 생성·공유 보기,/my-plans/:planId?shared=1,공유 링크 생성·공유 보기,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P1 검증,이번 화면 검사 대상 아님,공유 컴포넌트 3개 통과; 저장 문서 상세 브라우저에서 비공개 공유 버튼 차단 확인. native share/clipboard·Firebase SDK 대역.,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실제 공개전환 권한/공유받은 계정 열람/OS 공유창,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PlanDetailPage → ShareButton,공유 토큰/API; OG 경로 서버 설정,tests/unit/plandetail-share-button.component.test.tsx; HTTP 호출 0회 확인,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
미완료,PUB-16,웹,고객,여행 계획,공유 코스 보기 후 내 플래너로 시작,/s/:id,공유 코스 보기 후 내 플래너로 시작,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,없는/만료 ID와 일정 선택·플래너 전달,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,SharedCoursePage,GET /api/course-share?id=…,tests/e2e/shared-course-editorial.spec.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-17,웹,고객,여행 계획,지도에서 내 계획/날짜 동선 보기,/map,지도에서 내 계획/날짜 동선 보기,부분 검증,P2,"/map 로그인 안내 / 1440·390px, API·외부통신 차단",로그인 필요 화면 공통 구성 10개 통과,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,로그인/계획 없음/좌표 누락·지도 타일 네트워크,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,MapPage,Firestore users/{uid}/plans; 지도 라이브러리,tests/e2e/map-editorial.spec.ts | tests/unit/map-editorial-shell.component.test.tsx,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-18,웹,고객,계정,Google/전화 인증 진입·로그인 복귀,"전역 + /mypage,/my-plans",Google/전화 인증 진입·로그인 복귀,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실 Google OAuth/전화 SMS는 실제 인증환경 필요,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,RouteLanguageProvider/AuthRequired/PhoneSignInModal/firebase redirect handler,Firebase Auth,tests/e2e/auth-required-focus.spec.ts | tests/unit/auth-phone.test.ts | tests/unit/guest-anon-auth.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,PUB-19,웹,고객,계정,프로필·최근 계획·예약 요약·위시리스트·쿠폰·리뷰·Trip Coin·탈퇴,/mypage,프로필·최근 계획·예약 요약·위시리스트·쿠폰·리뷰·Trip Coin·탈퇴,부분 검증,P2,"/mypage 로그인 안내 / 1440·390px, API·외부통신 차단",로그인 필요 화면 공통 구성 10개 통과,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"각 탭의 실제 계정 데이터, 환불/잔액성 동작은 운영자 승인 테스트",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,MyPage + loyalty/reviews tabs,"Firestore users/plans, loyalty 관련 API; wttr.in 날씨 조회",tests/e2e/mypage-editorial.spec.ts | tests/unit/mypage-editorial-shell.component.test.tsx | tests/unit/lint-identity-profile-bookings.component.test.tsx,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,PUB-20,웹,고객,계정,회원 탈퇴 요청 안내/처리,/account-deletion,회원 탈퇴 요청 안내/처리,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,요청 제출부터 데이터 삭제 결과까지 별도 승인된 테스트 계정으로 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,AccountDeletion,계정 삭제 API/인증 경계 확인 필요,,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,PUB-21,웹,고객,커뮤니티,게시글 목록·검색·주제/정렬·좋아요·신고·번역,/community,게시글 목록·검색·주제/정렬·좋아요·신고·번역,부분 검증,P2,"/community API 차단 시 오류·재시도 화면 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"실 API 연결, 게스트/로그인 경계, 신고 및 번역 응답",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CommunityPage/PostCard,"/api/community-posts, community-post-actions, community-translate",tests/e2e/community-editorial.spec.ts | tests/unit/community-safety-gate.test.ts | tests/unit/community-public-privacy.test.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-22,웹,고객,커뮤니티,게시글 상세·댓글/답글·삭제,/community/post/:postId,게시글 상세·댓글/답글·삭제,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"댓글 생성·삭제, 소유권/숨김 게시글 검사",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CommunityPostPage,"community-posts, community-post-actions API",tests/e2e/community-editorial.spec.ts | tests/unit/community-uid-leak-and-hidden-reply.test.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-23,웹,고객,커뮤니티,게시글 작성·사진 첨부·발행,/community/new,게시글 작성·사진 첨부·발행,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"로그인, 이미지 업로드 제한, 승인/발행 상태를 mock API로 확인",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CommunityComposePage,"community-posts, community-image API",tests/e2e/community-editorial.spec.ts | tests/unit/community-image-sanitize-p9.test.ts,실발송·발행·외부 계정/키 변경 별도 승인,2026-09-23,
미완료,PUB-24,웹,고객,커뮤니티,알림 보기,/community?tab=alerts,알림 보기,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,로그인/알림 없음·읽음상태 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CommunityAlertsView,GET /api/community-notifications,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-25,웹,고객,여행 가이드,가이드 목록·본문·내부 링크,"/guide, /guide/:slug",가이드 목록·본문·내부 링크,부분 검증,P2,"/guide 목록 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,모든 slug·언어·잘못된 slug 404 처리,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,GuideIndexPage/GuideDetailPage,정적 editorial guide content,tests/unit/editorial-guide.component.test.tsx | tests/unit/editorial-guide-content.test.ts | tests/unit/guide-internal-links.test.ts | tests/e2e/guide-canonical-security.spec.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-26,웹,고객,AI 도움,대화형 여행 도우미·질문 전송,/assistant,대화형 여행 도우미·질문 전송,부분 검증,P2,"/assistant 입력 화면 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,API 실패·로그인·대화 이어짐·지원언어별 응답,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,AssistantPage + shared useChatSession,chat API/session storage; 게스트는 로그인 게이트,tests/e2e/assistant-editorial.spec.ts | tests/unit/assistant-editorial-shell.component.test.tsx | tests/unit/chat-session-auth.test.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-27,웹,고객,예약,장바구니에 투어/차터 담기·결제,전역 CartButton/CartCheckout,장바구니에 투어/차터 담기·결제,코드 존재·기능 실행 미확인,P1 검증,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,아이템 간 가격/통화·재고 재검증과 결제 오류를 mock에서 확인; 실제 청구 금지,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CartButton/CartCheckout,localStorage 장바구니 + booking/capture API,tests/unit/cart-storage.test.ts | tests/unit/cart-checkout.test.ts | tests/unit/cart-capture.test.ts | tests/unit/charter-cart-booking.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인,2026-09-23,
미완료,PUB-28,웹,고객,후기,일정/투어에 후기 조회·작성,투어 상세 또는 일정 상세 내부 모달,일정/투어에 후기 조회·작성,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,대상별 작성 자격·수정·삭제와 계정 권한,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,ReviewList/ReviewWriteModal/ReviewSubmitModal,/api/reviews; 인증·구매/예약 조건,tests/unit/lint-public-effects-review-list.test.tsx | tests/unit/lint-public-effects-review-edit.test.tsx | tests/unit/loyalty-reviews-security.test.ts,실발송·발행·외부 계정/키 변경 별도 승인,2026-09-23,
미완료,PUB-29,웹,고객,지원,WhatsApp 지원 링크(동의 후 활성화),/whatsapp-support,WhatsApp 지원 링크(동의 후 활성화),부분 검증,P2,"/whatsapp-support / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,동의 전 키보드/클릭 차단 및 동의 후 실제 링크,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,WhatsAppSupportPage,동의 화면 상태; 외부 wa.me,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-30,웹,고객,유입,SNS 바이오 링크 허브,/links,SNS 바이오 링크 허브,부분 검증,P2,"/links / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,각 CTA 목적지·UTM 보존,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,LinksPage,URL/UTM 파라미터 및 고정 링크,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-31,웹,고객,PWA,앱 설치 안내·푸시 알림 설정,전역(마이페이지 등 진입 버튼),앱 설치 안내·푸시 알림 설정,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,지원 브라우저·거부 권한·iOS 실기기 설치/푸시,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PwaInstallButton,"브라우저 설치 이벤트, Push API/service worker",tests/unit/pwa-install-app-separation.component.test.tsx | tests/unit/push-vapid-auth-failed-pr442.test.ts,실발송·발행·외부 계정/키 변경 별도 승인,2026-09-23,
미완료,PUB-32,웹,고객,PWA,새 버전 알림·업데이트 적용,전역,새 버전 알림·업데이트 적용,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실배포 중 대기 중인 SW 전환을 실기기 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PWAUpdatePrompt,service worker update lifecycle,tests/unit/pwa-update-prompt-no-forced-reload.test.ts | tests/unit/pwa-update-guard.test.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
